ir,ps,als,iter,ts_host_ms,fault_type,td_ms,tr_ms,ok,attempts,scl_pulses,notes
0,0,0,0,1759780387927,nofault,0.0,0.0,1,0,0,
7,42,0,1,1759780387927,nofault,0.0,0.0,1,0,0,
6,34,0,2,1759780387927,nofault,0.0,0.0,1,0,0,
0,43,0,3,1759780387927,nofault,0.0,0.0,1,0,0,
10,43,0,4,1759780387927,nofault,0.0,0.0,1,0,0,
2,31,0,5,1759780387927,nofault,0.0,0.0,1,0,0,
2,36,0,6,1759780387927,nofault,0.0,0.0,1,0,0,
0,37,0,7,1759780387927,nofault,0.0,0.0,1,0,0,
4,34,0,8,1759780387927,nofault,0.0,0.0,1,0,0,
9,39,0,9,1759780387927,nofault,0.0,0.0,1,0,0,
4,34,0,10,1759780387928,nofault,0.0,0.0,1,0,0,
5,28,0,11,1759780387928,nofault,0.0,0.0,1,0,0,
5,43,0,12,1759780387928,nofault,0.0,0.0,1,0,0,
4,37,0,13,1759780387928,nofault,0.0,0.0,1,0,0,
1,36,0,14,1759780387928,nofault,0.0,0.0,1,0,0,
0,34,0,15,1759780387928,nofault,0.0,0.0,1,0,0,
2,28,0,16,1759780387928,nofault,0.0,0.0,1,0,0,
2,43,0,17,1759780387928,nofault,0.0,0.0,1,0,0,
5,52,0,18,1759780387928,nofault,0.0,0.0,1,0,0,
1,32,0,19,1759780387928,nofault,0.0,0.0,1,0,0,
4,41,0,20,1759780387928,nofault,0.0,0.0,1,0,0,
